Date,CCI,tp,sma_tp,mean_deviation
2022-11-08,-66.58865434797903,13.585699999999997,13.691575,0.1059990384615385
2022-11-09,28.871221291133757,13.7358,13.690442307692308,0.10473565088757421
2022-11-10,19.535254018013042,13.7191,13.688899999999999,0.10306153846153862
2022-11-11,109.01437491013819,13.8618,13.690475,0.1047721153846157
2022-11-14,52.313327654626,13.774499999999998,13.691440384615383,0.10584889053254477
2022-11-15,61.79557541691584,13.789700000000002,13.691511538461537,0.10592825443787005
2022-11-16,91.35755070699787,13.8438,13.694901923076923,0.10865591715976348
2022-11-17,51.01111487104482,13.7812,13.697242307692306,0.10972470414201195
2022-11-18,22.99239320560518,13.736200000000002,13.69815576923077,0.11030961538461563
2022-11-21,28.9281637462418,13.7477,13.699705769230768,0.11060554733727826
2022-11-22,21.668167312211573,13.7367,13.700601923076922,0.11106331360946763
2022-11-23,20.759098033758445,13.736399999999998,13.701805769230768,0.11109741124260346
2022-11-24,-3.1661911856736777,13.6969,13.702157692307692,0.11070488165680496
2022-11-25,-22.00460022158348,13.6644,13.701096153846153,0.11117721893491131
2022-11-28,-25.957508870861037,13.6565,13.700073076923076,0.11190872781065105
2022-11-29,-71.34239868269593,13.576299999999998,13.698171153846154,0.11388380177514804
2022-11-30,-103.9356370216737,13.5143,13.695782692307692,0.1164071005917162
2022-12-01,-81.47449148477719,13.5527,13.695428846153847,0.1167881656804736
2022-12-02,-37.69915226773796,13.636900000000002,13.700142307692307,0.11183683431952676
2022-12-06,-79.30445431991953,13.5721,13.702376923076923,0.10951627218934928
2022-12-07,-82.20538389310987,13.5709,13.703940384615386,0.10789267751479309
2022-12-08,-115.42275699669104,13.5179,13.704211538461538,0.1076110946745563
2022-12-09,-80.47736670195397,13.5713,13.702876923076925,0.10899704142011853
2022-12-13,-97.95104471347751,13.5358,13.700132692307694,0.11184681952662727
2022-12-14,-47.766675371684464,13.6209,13.700651923076922,0.11130761834319539
2022-12-15,-93.13705908729568,13.5439,13.700142307692309,0.11183683431952672
2022-12-16,-105.48447081581506,13.5188,13.698482692307692,0.11356028106508881
2022-12-19,-46.61517995237668,13.6163,13.696619230769231,0.11486849112426027
2022-12-20,-25.649468832776705,13.6504,13.694440384615385,0.11446730769230772
2022-12-21,10.901912456066878,13.710699999999997,13.692326923076923,0.11235384615384611
2022-12-22,24.084560211401165,13.7256,13.686951923076922,0.1069788461538461
2022-12-23,-44.89549758041475,13.6108,13.679846153846153,0.10252869822485201
2022-12-27,-32.06348727084174,13.626600000000002,13.673726923076924,0.09798668639053251
2022-12-28,-25.815676762817496,13.6314,13.667121153846153,0.09224667159763324
2022-12-29,-23.17172603672523,13.631300000000001,13.661705769230771,0.08747951183431966
2022-12-30,2.4190181092806635,13.6605,13.657496153846154,0.08278417159763288
2023-01-03,90.99690129998768,13.7657,13.655576923076923,0.08067899408284016
2023-01-04,95.11228745588701,13.7689,13.654875,0.07992307692307686
2023-01-05,-19.58225245047078,13.6299,13.653065384615385,0.07886523668639048
2023-01-06,-33.730879345603185,13.611600000000001,13.651250000000001,0.07836538461538474
2023-01-09,-35.11842152643089,13.6105,13.651617307692307,0.07805458579881644
2023-01-10,31.951119271471363,13.6911,13.653953846153847,0.07750621301775114
2023-01-11,14.559264211037737,13.669400000000001,13.652763461538463,0.0761784763313611
2023-01-12,12.074233139545928,13.6636,13.6503,0.07343461538461535
2023-01-13,23.570232015016817,13.6748,13.649240384615384,0.07229349112426026
2023-01-16,73.07527587545773,13.731900000000001,13.650876923076924,0.07391745562130157
2023-01-17,74.18609502428792,13.736600000000001,13.653742307692308,0.07445931952662715
2023-01-18,101.2124409705259,13.772,13.657069230769231,0.07570266272189342
2023-01-19,130.05997875170624,13.8118,13.661990384615384,0.0767900147928994
2023-01-20,51.53772842493918,13.724399999999997,13.66656346153846,0.07481449704141986
2023-01-25,84.18684402649635,13.7648,13.671832692307692,0.07361982248520696
2023-01-26,130.78866777675665,13.824800000000002,13.67526153846154,0.07622396449704122
2023-01-27,74.75077456069513,13.7643,13.678696153846154,0.0763460059171596
2023-01-30,2.45369824230219,13.6804,13.67763076923077,0.07523964497041417
2023-01-31,0.8631443142685804,13.6778,13.67683653846154,0.07441486686390525
2023-02-01,61.10428573972354,13.740500000000003,13.674503846153847,0.07200384615384604
2023-02-02,239.00190398530108,13.9484,13.677848076923077,0.07546715976331356
2023-02-03,33.90208417512394,13.714,13.676392307692309,0.07395355029585794
2023-02-06,57.52407471864361,13.7363,13.674325000000001,0.07182499999999989
2023-02-07,-6.2054280023595165,13.6656,13.672101923076923,0.06985199704142007
2023-02-08,30.574099036263,13.7032,13.671467307692307,0.06919297337278098
2023-02-09,31.807139850896124,13.7032,13.67061153846154,0.06830428994082839
2023-02-10,-71.66847211866298,13.5944,13.667875,0.06834711538461533
2023-02-13,27.376086512763038,13.6948,13.667075,0.06751634615384615
2023-02-14,17.215311622123252,13.684199999999999,13.666830769230769,0.06726272189349107
2023-02-15,15.706488205421657,13.683100000000001,13.667190384615385,0.06752884615384615
2023-02-16,29.854908890452073,13.6984,13.667996153846154,0.0678924556213018
2023-02-17,29.460365694512117,13.699800000000002,13.670371153846153,0.06659534023668634
2023-02-20,100.91303333828294,13.774099999999999,13.675367307692309,0.06522625739644973
2023-02-21,135.26300728693053,13.8127,13.680367307692308,0.06522241124260356
