Date,EMA
2011-01-27,10.51913213010361
2011-01-28,10.510766090450852
2011-01-31,10.50945850832977
2011-02-01,10.510582771195391
2011-02-02,10.509955305539412
2011-02-07,10.511065645695924
2011-02-08,10.512470359882032
2011-02-09,10.514797715675645
2011-02-10,10.515762708108078
2011-02-11,10.519076297297268
2011-02-14,10.521185900900873
2011-02-15,10.524491658764001
2011-02-16,10.530579670737193
2011-02-17,10.536745296325362
2011-02-21,10.546701601717455
2011-02-22,10.554434878850177
2011-02-23,10.564195058539646
2011-02-24,10.576142600345273
2011-02-25,10.585972684543686
2011-02-28,10.59635960789303
2011-03-01,10.607325937440642
2011-03-02,10.621472395776058
2011-03-03,10.63626985557339
2011-03-04,10.646607755377833
2011-03-07,10.660407483259313
2011-03-08,10.671137045250214
2011-03-09,10.679981359451961
2011-03-10,10.68895394333084
2011-03-11,10.694204682161336
2011-03-14,10.702962412611816
2011-03-15,10.707861977081578
2011-03-16,10.709940504201523
2011-03-17,10.711788205808487
2011-03-18,10.734557040692401
2011-03-21,10.740355039264598
2011-03-22,10.747556616834261
2011-03-23,10.753887963612007
2011-03-24,10.762365578923866
2011-03-25,10.767584330540572
2011-03-28,10.769612950521603
2011-03-29,10.7719142505033
2011-03-30,10.775555855748799
2011-03-31,10.781680211687437
2011-04-01,10.788245818294895
2011-04-04,10.793984561512618
2011-04-05,10.798844752336736
2011-04-07,10.810116866289833
2011-04-08,10.821898730630542
2011-04-11,10.833074213766313
2011-04-12,10.841408451879776
2011-04-18,10.856373067603291
2011-04-19,10.873086293301423
2011-04-20,10.891149932132953
2011-04-21,10.908172741531796
2011-04-25,10.9266824698991
2011-04-26,10.940447997271063
2011-04-27,10.956288418419446
2011-04-28,10.97714145636964
2011-04-29,10.996031229830354
2011-05-03,11.019019607731042
2011-05-04,11.038748744301882
2011-05-06,11.04695756029129
2011-05-09,11.064348523088087
2011-05-10,11.080939802979733
2011-05-11,11.099169985331322
2011-05-12,11.106051740231976
2011-05-13,11.119783258118574
2011-05-18,11.128755775377572
2011-05-19,11.136252063960814
2011-05-20,11.146601114348154
2011-05-23,11.158832654195587
2011-05-24,11.174743789136093
2011-05-25,11.190907164955878
2011-05-26,11.207408667939882
2011-05-27,11.22284696029287
2011-05-30,11.239340049405401
2011-05-31,11.256226363461352
2011-06-01,11.269506140182006
2011-06-02,11.285214696666849
2011-06-03,11.299066812573274
2011-06-06,11.3144223630093
2011-06-07,11.329432104658094
2011-06-08,11.341760802740268
2011-06-09,11.354242879837102
2011-06-10,11.36973962089545
2011-06-13,11.37918033595175
2011-06-14,11.388184534690284
2011-06-15,11.39676753347308
2011-06-16,11.406487970895077
2011-06-17,11.416807691214547
2011-06-20,11.430551280996493
2011-06-21,11.443988078154511
2011-06-22,11.458560426289441
2011-06-23,11.469972341156478
2011-06-24,11.47688208357204
2011-06-27,11.479668677130915
2011-06-28,11.48614346038948
2011-06-29,11.495643689849498
2011-06-30,11.502221104240743
2011-07-04,11.503894047951594
2011-07-05,11.502171449777853
2011-07-06,11.50583560943477
2011-07-07,11.511641377524779
2011-07-08,11.515201329190576
2011-07-11,11.522369703604943
2011-07-12,11.528777784180207
2011-07-13,11.543862774208971
2011-07-14,11.560965834763042
2011-07-18,11.578447735297672
2011-07-19,11.596042551603016
2011-07-20,11.606851584880102
2011-07-21,11.618369073129923
2011-07-22,11.627236824949925
2011-07-25,11.643000445127122
2011-07-26,11.656263587403362
2011-07-27,11.670363110652367
2011-07-28,11.682543352383863
2011-07-29,11.693583936510745
2011-08-01,11.705995026457735
2011-08-02,11.719932043073253
2011-08-03,11.744513374895245
2011-08-04,11.76682518630243
2011-08-05,11.790101495554977
2011-08-08,11.82418565360568
2011-08-10,11.870951069268639
2011-08-11,11.921001908943424
2011-08-15,11.958321140208568
2011-08-16,12.004050223008267
2011-08-17,12.051188811674644
2011-08-18,12.096782186703603
2011-08-19,12.15973719769646
2011-08-22,12.226813085496584
2011-08-23,12.288802100040563
2011-08-24,12.34158799126721
2011-08-25,12.362370868766606
2011-08-26,12.398649083897602
2011-08-29,12.44090350200646
2011-08-31,12.48450688790097
2011-09-01,12.52457682165883
2011-09-02,12.569721494583082
2011-09-05,12.623411968457358
2011-09-06,12.673558916932537
2011-09-07,12.711942814584027
2011-09-08,12.745829031616166
2011-09-09,12.792259591910337
2011-09-12,12.828611886931027
2011-09-13,12.856990417214147
2011-09-14,12.888481981522423
2011-09-15,12.91582647339883
2011-09-16,12.933986948016416
2011-09-19,12.961541791945665
2011-09-20,12.98448769398266
2011-09-21,13.011975845070987
2011-09-22,13.025043359279023
2011-09-23,13.033999732637653
2011-09-26,13.014855882369666
2011-09-27,13.010899535619854
2011-09-28,13.003408323843718
2011-09-29,12.989629084410605
2011-09-30,12.97961052004532
2011-10-03,12.975315414078818
2011-10-04,12.976300838146226
2011-10-05,12.958935896456884
2011-10-06,12.954439900089977
2011-10-07,12.949645517630678
2011-10-10,12.94502637666118
2011-10-11,12.93955176695377
2011-10-12,12.938549950569428
2011-10-13,12.938137671602078
2011-10-14,12.936153893651127
2011-10-17,12.939085335979158
2011-10-18,12.9301560259448
2011-10-19,12.919129498718666
2011-10-20,12.901089867184677
2011-10-21,12.887528819213284
2011-10-25,12.885306755381238
2011-10-27,12.893341606069615
2011-10-28,12.907448918137348
2011-10-31,12.912124394693931
2011-11-01,12.917186696634495
2011-11-02,12.930415233594688
2011-11-03,12.942523471012418
2011-11-04,12.96015773518742
2011-11-08,12.983689042724704
2011-11-09,13.005447321927347
2011-11-10,13.020838643964984
