Date,Close,High,Low,dm_plus,ATR
2019-08-22,10.7253,10.7253,10.7253,0.051706480932637036,0.10915540689134406
2019-08-23,10.5041,10.5041,10.5041,0.04801315951556413,0.11715859503974159
2019-08-26,10.5059,10.5059,10.5059,0.04471221842939699,0.1089186925963486
2019-08-27,10.5157,10.5157,10.5157,0.042218487755363986,0.10183878375018272
2019-08-28,10.5156,10.5156,10.5156,0.03920288060427956,0.09457172564053505
2019-08-29,10.71,10.71,10.71,0.05028839214610881,0.10170231860464175
2019-08-30,10.7261,10.7261,10.7261,0.04784636351923267,0.09558786573227118
2019-09-03,10.6497,10.6497,10.6497,0.04442876532392114,0.0942173035729939
2019-09-04,10.8324,10.8324,10.8324,0.05430528423618133,0.10053749755055078
2019-09-05,11.0853,11.0853,11.0853,0.06849062394344028,0.11142053563935816
2019-09-06,11.1414,11.1414,11.1414,0.06760557920995298,0.10746906806639278
2019-09-09,11.2309,11.2309,11.2309,0.06916946668177683,0.10618556298083426
2019-09-10,11.1792,11.1792,11.1792,0.06422878969072171,0.10229373642385702
2019-09-11,11.3348,11.3348,11.3348,0.07075530569349574,0.1061013272514293
2019-09-12,11.3786,11.3786,11.3786,0.06882992644674399,0.1016512318268414
2019-09-13,11.4006,11.4006,11.4006,0.06548493126716362,0.09596185738779725
2019-09-16,11.2955,11.2955,11.2955,0.06080743561391364,0.09661458193862518
2019-09-17,11.2963,11.2963,11.2963,0.056521189734085264,0.0897706824641626
2019-09-18,11.2986,11.2986,11.2986,0.05264824720846382,0.08352277592574107
2019-09-19,11.3647,11.3647,11.3647,0.053609086786126324,0.08227829181117026
2019-09-20,11.3115,11.3115,11.3115,0.04977986595889972,0.08020127078173674
2019-09-23,11.2028,11.2028,11.2028,0.046224160952228026,0.08223689446639725
2019-09-24,11.147,11.147,11.147,0.042922434915286384,0.080348544716019
2019-09-25,11.1271,11.1271,11.1271,0.039856546487489916,0.07603079121280434
2019-09-26,11.2106,11.2106,11.2106,0.04297393623140124,0.07656430616165365
2019-09-27,11.2179,11.2179,11.2179,0.04042579777181299,0.07161685541603474
2019-09-30,11.2056,11.2056,11.2056,0.0375382406225439,0.06737993692909375
2019-10-01,11.1824,11.1824,11.1824,0.03485693757817332,0.06422422698042518
2019-10-02,10.9458,10.9458,10.9458,0.03236715619949517,0.07653678280483957
2019-10-03,10.9519,10.9519,10.9519,0.030490930670539568,0.071505583802091
2019-10-04,11.1142,11.1142,11.1142,0.03990586459542386,0.07799089952126281
2019-10-07,11.1558,11.1558,11.1558,0.04002687427196931,0.07539154945256483
2019-10-08,10.9633,10.9633,10.9633,0.03716781171888141,0.08375643908484846
2019-10-09,10.9951,10.9951,10.9951,0.03678439658301773,0.08004526473783478
2019-10-10,11.1082,11.1082,11.1082,0.04223551128556646,0.0824063173313906
2019-10-11,11.3322,11.3322,11.3322,0.05521868943297265,0.09252015210536578
2019-10-15,11.421,11.421,11.421,0.05761735453902399,0.09225442694772085
2019-10-16,11.3998,11.3998,11.3998,0.053501829110374446,0.08717911060838053
2019-10-17,11.3881,11.3881,11.3881,0.04968026979815755,0.08178774543788829
2019-10-18,11.2651,11.2651,11.2651,0.04613167902064634,0.08473147797101908
2019-10-21,11.3843,11.3843,11.3843,0.0513508449109239,0.08719351530882472
2019-10-22,11.3939,11.3939,11.3939,0.04836864164673907,0.08165112125363255
2019-10-24,11.4828,11.4828,11.4828,0.051263738722689016,0.08216889831601498
2019-10-25,11.5901,11.5901,11.5901,0.05526632887903555,0.0839639770369287
2019-10-28,11.6937,11.6937,11.6937,0.058718734011253174,0.08536655012690544
2019-10-29,11.5643,11.5643,11.5643,0.05452453866590684,0.08851179659052781
2019-10-30,11.5426,11.5426,11.5426,0.05062992871047486,0.08373952534333481
2019-10-31,11.516,11.516,11.516,0.04701350518741841,0.07965813062659362
2019-11-01,11.6376,11.6376,11.6376,0.052341112019575226,0.08265397847262348
2019-11-04,11.8134,11.8134,11.8134,0.061159604110135615,0.08930726579395895
2019-11-05,11.8876,11.8876,11.8876,0.0620910609684311,0.08822817536965591
2019-11-06,11.8495,11.8495,11.8495,0.057655985145094034,0.0846475913824859
2019-11-07,11.9712,11.9712,11.9712,0.06223055767292407,0.08729419202011951
2019-11-08,11.8903,11.8903,11.8903,0.057785517804682184,0.08683746401514146
2019-11-12,11.9058,11.9058,11.9058,0.05476512365403231,0.08174193083451975
2019-11-13,11.825,11.825,11.825,0.05085332908116604,0.08167465006017573
2019-11-14,11.7826,11.7826,11.7826,0.04722094840996389,0.07886931789560658
2019-11-15,11.9207,11.9207,11.9207,0.05371230927523954,0.08310008092744918
2019-11-18,11.9223,11.9223,11.9223,0.049990001449942555,0.07727864654433074
2019-11-19,11.8939,11.8939,11.8939,0.04641928704291468,0.07378731463095535
2019-11-20,11.8705,11.8705,11.8705,0.043103623667404875,0.07018822071213465
2019-11-21,11.7471,11.7471,11.7471,0.04002479339225364,0.07398906210612713
2019-11-22,11.7857,11.7857,11.7857,0.03992302243525917,0.07146127194563089
2019-11-25,11.9283,11.9283,11.9283,0.047257092288411365,0.07654260968257556
2019-11-26,11.9483,11.9483,11.9483,0.04531015711827333,0.07250385183424864
2019-11-27,12.0162,12.0162,12.0162,0.04692371732925172,0.07217500527361174
2019-11-29,11.9932,11.9932,11.9932,0.04357202322438947,0.06866250488653375
2019-12-02,11.8524,11.8524,11.8524,0.04045973584266903,0.07381518312307914
2019-12-03,11.7295,11.7295,11.7295,0.03756975470367783,0.07732124148037411
2019-12-04,11.8398,11.8398,11.8398,0.04276477223714902,0.07967686709449856
2019-12-06,11.9539,11.9539,11.9539,0.047860145659988446,0.08213566230744249
2019-12-09,11.9061,11.9061,11.9061,0.044441563820150104,0.07968311499475904
2019-12-11,11.9322,11.9322,11.9322,0.04313145211622616,0.07585574963073194
2019-12-12,12.0451,12.0451,12.0451,0.048114919830986015,0.07850176751891078
2019-12-13,12.1499,12.1499,12.1499,0.05216385413539377,0.0803802126992032
2019-12-16,12.2971,12.2971,12.2971,0.05895215027888751,0.08515305465650737
2019-12-17,12.2888,12.2888,12.2888,0.054741282395886895,0.07966355074473107
2019-12-18,12.3157,12.3157,12.3157,0.05275261936500553,0.07589472568660158
2019-12-19,12.3521,12.3521,12.3521,0.051584575123227984,0.07307367384841466
2019-12-20,12.419,12.419,12.419,0.052678534044232415,0.07263269714445868
2019-12-23,12.4743,12.4743,12.4743,0.05286578161269774,0.07139464734712803
2019-12-24,12.4387,12.4387,12.4387,0.04908965435097224,0.06883788681984435
2019-12-26,12.4973,12.4973,12.4973,0.049768964755088116,0.06810660918919437
2019-12-27,12.5354,12.5354,12.5354,0.04893546727188226,0.06596327995959587
2019-12-30,12.4298,12.4298,12.4298,0.045440076749737955,0.0687944742504026
2020-01-02,12.5897,12.5897,12.5897,0.05361578555924476,0.0753020118086547
2020-01-03,12.5648,12.5648,12.5648,0.04978608658815375,0.07170186810561728
2020-01-06,12.5316,12.5316,12.5316,0.046229937543923745,0.06895173466778574
2020-01-07,12.6288,12.6288,12.6288,0.04987065629289591,0.07096946790697023
2020-01-08,12.7288,12.7288,12.7288,0.05345132370247271,0.0730430773433023
2020-01-09,12.8469,12.8469,12.8469,0.05806908629746029,0.07626142896324575
2020-01-10,12.8561,12.8561,12.8561,0.05457843727459374,0.07147132689222026
2020-01-13,12.948,12.948,12.948,0.05724426318469977,0.07293051782911888
2020-01-14,13.0016,13.0016,13.0016,0.05698395867140276,0.07154976655505803
