Date,EMA,Close
2019-08-22,10.822263420972456,10.7253
2019-08-23,10.811099792166406,10.5041
2019-08-26,10.800391027528988,10.5059
2019-08-27,10.79040186866832,10.5157
2019-08-28,10.780759697837853,10.5156
2019-08-29,10.77827690142249,10.71
2019-08-30,10.776446132951525,10.7261
2019-09-03,10.771998900216385,10.6497
2019-09-04,10.774118237050898,10.8324
2019-09-05,10.785036895399989,11.0853
2019-09-06,10.797540863982444,11.1414
2019-09-09,10.81274644770236,11.2309
2019-09-10,10.825604467081224,11.1792
2019-09-11,10.843470977008197,11.3348
2019-09-12,10.862247433955277,11.3786
2019-09-13,10.881136997676146,11.4006
2019-09-16,10.895676050389262,11.2955
2019-09-17,10.909733031077359,11.2963
2019-09-18,10.923377486127277,11.2986
2019-09-19,10.93886248661404,11.3647
2019-09-20,10.951937487083724,11.3115
2019-09-23,10.960739680519382,11.2028
2019-09-24,10.967275130325719,11.147
2019-09-25,10.972883020489729,11.1271
2019-09-26,10.981223967139211,11.2106
2019-09-27,10.989528389344853,11.2179
2019-09-30,10.99710984936784,11.2056
2019-10-01,11.00361125816195,11.1824
2019-10-02,11.001582792963285,10.9458
2019-10-03,10.999839537069835,10.9519
2019-10-04,11.003852184891947,11.1142
2019-10-07,11.00918368717644,11.1558
2019-10-08,11.007573733240426,10.9633
2019-10-09,11.007136058389884,10.9951
2019-10-10,11.010682161604274,11.1082
2019-10-11,11.02196348926728,11.3322
2019-10-15,11.035964770345622,11.421
2019-10-16,11.048730918754547,11.3998
2019-10-17,11.060638605815791,11.3881
2019-10-18,11.067812689822254,11.2651
2019-10-21,11.078917507723228,11.3843
2019-10-22,11.089969524996098,11.3939
2019-10-24,11.10375305043483,11.4828
2019-10-25,11.120817855682732,11.5901
2019-10-28,11.140918983553513,11.6937
2019-10-29,11.155774457814793,11.5643
2019-10-30,11.16934728385638,11.5426
2019-10-31,11.181510537054402,11.516
2019-11-01,11.197513676105126,11.6376
2019-11-04,11.21912372255758,11.8134
2019-11-05,11.242579030538014,11.8876
2019-11-06,11.263874503150715,11.8495
2019-11-07,11.288692941636656,11.9712
2019-11-08,11.309801961228352,11.8903
2019-11-12,11.330714173115076,11.9058
2019-11-13,11.348057535461916,11.825
2019-11-14,11.363304639480797,11.7826
2019-11-15,11.382862371428839,11.9207
2019-11-18,11.401790007519054,11.9223
2019-11-19,11.419057024799086,11.8939
2019-11-20,11.434897129192102,11.8705
