Date,EMA
2019-08-22,-0.000975020781339047
2019-08-23,-0.001398733439273213
2019-08-26,-0.0021957627251890017
2019-08-27,-0.0028920859893903244
2019-08-28,-0.0038129968545314334
2019-08-29,-0.003729261299057974
2019-08-30,-0.0028568449523200604
2019-09-03,-0.00227633997162808
2019-09-04,-0.001139736012403042
2019-09-05,0.0008011898768589848
2019-09-06,0.0021864152160856157
2019-09-09,0.003761024230139201
2019-09-10,0.005373609710287925
2019-09-11,0.0068124086810633115
2019-09-12,0.00750174392066008
2019-09-13,0.008054825914772629
2019-09-16,0.007974024578090079
2019-09-17,0.008061771447704499
2019-09-18,0.007666842472551935
2019-09-19,0.007354967599534903
2019-09-20,0.006822674766639197
2019-09-23,0.006295324493392441
2019-09-24,0.005610691459304087
2019-09-25,0.004881233102183945
2019-09-26,0.004234188753759438
2019-09-27,0.0037952781090634254
2019-09-30,0.003670880193504045
2019-10-01,0.00365350693591451
2019-10-02,0.0029536100758331724
2019-10-03,0.0020402772961233212
2019-10-04,0.0016443323232152604
2019-10-07,0.0014306993831657937
2019-10-08,0.0006930155642877795
2019-10-09,0.0008267346908306531
2019-10-10,0.0012984807111542666
2019-10-11,0.0019411497092151912
2019-10-15,0.002707158051265375
2019-10-16,0.004009175465142914
2019-10-17,0.005122649824114001
2019-10-18,0.005438511257358278
2019-10-21,0.005409002742201385
2019-10-22,0.00513595626020936
2019-10-24,0.005211214969964698
2019-10-25,0.0056507447616834
2019-10-28,0.006787445318721805
2019-10-29,0.007104070003157401
2019-10-30,0.007312728704623312
2019-10-31,0.0071575901841895535
2019-11-01,0.007050247556493916
2019-11-04,0.007162038206245875
2019-11-05,0.007891676476146726
2019-11-06,0.008547704094681486
2019-11-07,0.00963471846871989
2019-11-08,0.010058556386553149
2019-11-12,0.009980067611193064
2019-11-13,0.009445118170334388
2019-11-14,0.008915611994533418
2019-11-15,0.008454767446246306
2019-11-18,0.00825253944300999
2019-11-19,0.007927906029484025
2019-11-20,0.007784743717110899
2019-11-21,0.007405878416415548
2019-11-22,0.0067486602857878015
2019-11-25,0.006529523384512136
2019-11-26,0.006460900567883147
2019-11-27,0.006664873352573318
2019-11-29,0.00716610065433211
2019-12-02,0.0071132339927511105
2019-12-03,0.006278866221235213
2019-12-04,0.005739930924497896
2019-12-06,0.005356611686244536
2019-12-09,0.004913837636869575
2019-12-11,0.004977661355132774
2019-12-12,0.005747094913001095
2019-12-13,0.006464436172170806
2019-12-16,0.00724499263577077
2019-12-17,0.00811861349436721
2019-12-18,0.008961466491174939
2019-12-19,0.00954132881261437
2019-12-20,0.009983679746871185
2019-12-23,0.010138985774051035
2019-12-24,0.010211235363806827
2019-12-26,0.010370329079815206
2019-12-27,0.010527144969415947
2019-12-30,0.010188284978781399
2020-01-02,0.010155398491712583
2020-01-03,0.010154778030814113
2020-01-06,0.009894771532611925
2020-01-07,0.009809021621077456
2020-01-08,0.01030888378891895
2020-01-09,0.010663989573005734
2020-01-10,0.011103281696847938
2020-01-13,0.01187958758878199
2020-01-14,0.01249854338199758
2020-01-15,0.012719918809675965
2020-01-16,0.012837876067011372
2020-01-17,0.013068103267492198
2020-01-21,0.01306564864168129
2020-01-22,0.013087577555748322
2020-01-23,0.013155970704066444
2020-01-24,0.01314379016074095
2020-01-27,0.012098947083737413
2020-01-28,0.011436871678608252
2020-01-29,0.010672443628518652
2020-01-30,0.009427123048520728
2020-01-31,0.00785480625586854
2020-02-03,0.0073733692163803774
2020-02-04,0.0072746399629013475
2020-02-05,0.007396812694261765
2020-02-06,0.00836458705438237
2020-02-07,0.009569204037280283
2020-02-11,0.010992497909752652
2020-02-12,0.01183019721104902
2020-02-13,0.012376697974079188
2020-02-14,0.012638081421579647
2020-02-18,0.01237987602145971
2020-02-19,0.01222271821495482
2020-02-20,0.01152544405411803
2020-02-21,0.010767181066615046
2020-02-24,0.008756314231038544
2020-02-25,0.007016178731601491
2020-02-26,0.00467723146230766
2020-02-27,0.0017143714566557806
2020-02-28,-0.002175331637745816
2020-03-02,-0.003931573838709221
2020-03-03,-0.005092135216253842
2020-03-04,-0.006330268361935264
2020-03-05,-0.006143617029639529
2020-03-06,-0.006090494664726902
2020-03-09,-0.008487824252810874
2020-03-10,-0.011314231479694601
2020-03-11,-0.014082269713028376
2020-03-12,-0.019517945752395495
2020-03-13,-0.023701915786331955
2020-03-16,-0.02705974175449956
2020-03-17,-0.030122913676755358
2020-03-18,-0.03401726791060945
2020-03-19,-0.03449551603867028
2020-03-20,-0.0345180504996368
2020-03-23,-0.03415846964674273
2020-03-24,-0.03123821052496237
2020-03-25,-0.025445178277287213
2020-03-26,-0.019946561332926698
2020-03-27,-0.01596481057185399
2020-03-30,-0.010968048097897146
2020-03-31,-0.008244985524733534
2020-04-01,-0.008529156137848999
2020-04-02,-0.009447334358672534
2020-04-03,-0.010029090951711183
2020-04-07,-0.008037714508906913
2020-04-08,-0.006551966017168789
2020-04-09,-0.0027385506195403155
2020-04-13,8.111512613707007e-06
2020-04-14,0.004624035378435116
2020-04-15,0.0049617798893374305
2020-04-16,0.0057442245057682546
2020-04-17,0.00611403481344761
2020-04-20,0.0075292062951061774
2020-04-21,0.0058225821879845305
2020-04-22,0.005748151873279867
2020-04-23,0.005558312890057579
2020-04-24,0.004915633521160401
2020-04-27,0.005057022298894881
2020-04-28,0.007165353750717088
2020-04-29,0.009350768466757774
2020-04-30,0.010568054443685223
2020-05-05,0.011528692508625985
2020-05-07,0.01206148160470769
2020-05-08,0.012816565894905466
2020-05-11,0.012495149714293554
