Date,Close,ATR
2019-08-22,10.7253,0.10547430890771409
2019-08-23,10.5041,0.11190358370250365
2019-08-26,10.5059,0.10578665528086695
2019-08-27,10.5157,0.10045401172926086
2019-08-28,10.5156,0.09487873791309477
2019-08-29,10.71,0.10040774463084753
2019-08-30,10.7261,0.09572394286658126
2019-09-03,10.6497,0.09465038222152271
2019-09-04,10.8324,0.09954206321485123
2019-09-05,11.0853,0.10806200708849754
2019-09-06,11.1414,0.10517521019771671
2019-09-09,11.2309,0.10430435985349464
2019-09-10,11.1792,0.10138187851373054
2019-09-11,11.3348,0.10439401282819594
2019-09-12,11.3786,0.10102766141473273
2019-09-13,11.4006,0.09663721438806695
2019-09-16,11.2955,0.09710737130786234
2019-09-17,11.2963,0.091756938536911
2019-09-18,11.2986,0.08678708821840636
2019-09-19,11.3647,0.08563780108419985
2019-09-20,11.3115,0.08383569442591564
2019-09-23,11.2028,0.08521704951216545
2019-09-24,11.147,0.08358276364648053
2019-09-25,11.1271,0.08004482142051597
2019-09-26,11.2106,0.08023677634520794
2019-09-27,11.2179,0.07618472206703314
2019-09-30,11.2056,0.07263556161921048
2019-10-01,11.1824,0.06988913478959248
2019-10-02,10.9458,0.0791508709888998
2019-10-03,10.9519,0.07509248038394464
2019-10-04,11.1142,0.0799373526005446
2019-10-07,11.1558,0.07780749551989262
2019-10-08,10.9633,0.08417931307373762
2019-10-09,10.9951,0.08126934616854094
2019-10-10,11.1082,0.08303771873440909
2019-10-11,11.3322,0.09086896874750824
2019-10-15,11.421,0.09075402587068133
2019-10-16,11.3998,0.0868899079682331
2019-10-17,11.3881,0.08271268539252633
2019-10-18,11.2651,0.08495087230358497
2019-10-21,11.3843,0.08685360384101382
2019-10-22,11.3939,0.08256173222959062
2019-10-24,11.4828,0.08291385858345443
2019-10-25,11.5901,0.08426864554988955
2019-10-28,11.6937,0.08534261068338378
2019-10-29,11.5643,0.08779024556999887
2019-10-30,11.5426,0.08411856221905872
2019-10-31,11.516,0.08092308404025522
2019-11-01,11.6376,0.08318291437443245
