Date,Close,High,Low,dm_minus,ATR
2019-08-22,10.7253,10.7253,10.7253,0.05744892595870702,0.10915540689134406
2019-08-23,10.5041,10.5041,10.5041,0.06914543552417744,0.11715859503974159
2019-08-26,10.5059,10.5059,10.5059,0.06420647416695162,0.1089186925963486
2019-08-27,10.5157,10.5157,10.5157,0.05962029599481874,0.10183878375018272
2019-08-28,10.5156,10.5156,10.5156,0.055368845036255505,0.09457172564053505
2019-08-29,10.71,10.71,10.71,0.05141392645853297,0.10170231860464175
2019-08-30,10.7261,10.7261,10.7261,0.047741502213038536,0.09558786573227118
2019-09-03,10.6497,10.6497,10.6497,0.049788538249072783,0.0942173035729939
2019-09-04,10.8324,10.8324,10.8324,0.04623221331436945,0.10053749755055078
2019-09-05,11.0853,11.0853,11.0853,0.042929911695917866,0.11142053563935816
2019-09-06,11.1414,11.1414,11.1414,0.03986348885643978,0.10746906806639278
2019-09-09,11.2309,11.2309,11.2309,0.03701609629905742,0.10618556298083426
2019-09-10,11.1792,11.1792,11.1792,0.03806494673313531,0.10229373642385702
2019-09-11,11.3348,11.3348,11.3348,0.03534602155793357,0.1061013272514293
2019-09-12,11.3786,11.3786,11.3786,0.03282130538009742,0.1016512318268414
2019-09-13,11.4006,11.4006,11.4006,0.030476926120633633,0.09596185738779725
2019-09-16,11.2955,11.2955,11.2955,0.03580714632471154,0.09661458193862518
2019-09-17,11.2963,11.2963,11.2963,0.033249492730077344,0.0897706824641626
2019-09-18,11.2986,11.2986,11.2986,0.030874528717277267,0.08352277592574107
2019-09-19,11.3647,11.3647,11.3647,0.028669205025043942,0.08227829181117026
2019-09-20,11.3115,11.3115,11.3115,0.03042140482283702,0.08020127078173674
2019-09-23,11.2028,11.2028,11.2028,0.036012733514169226,0.08223689446639725
2019-09-24,11.147,11.147,11.147,0.03742610980073262,0.080348544716019
2019-09-25,11.1271,11.1271,11.1271,0.036174244725314435,0.07603079121280434
2019-09-26,11.2106,11.2106,11.2106,0.033590369930252405,0.07656430616165365
2019-09-27,11.2179,11.2179,11.2179,0.03119105764422176,0.07161685541603474
2019-09-30,11.2056,11.2056,11.2056,0.029841696306549852,0.06737993692909375
2019-10-01,11.1824,11.1824,11.1824,0.029367289402251858,0.06422422698042518
2019-10-02,10.9458,10.9458,10.9458,0.0441696266053444,0.07653678280483957
2019-10-03,10.9519,10.9519,10.9519,0.041014653131551435,0.071505583802091
2019-10-04,11.1142,11.1142,11.1142,0.03808503492583896,0.07799089952126281
2019-10-07,11.1558,11.1558,11.1558,0.03536467518059553,0.07539154945256483
2019-10-08,10.9633,10.9633,10.9633,0.04658862736596705,0.08375643908484846
2019-10-09,10.9951,10.9951,10.9951,0.04326086815481706,0.08004526473783478
2019-10-10,11.1082,11.1082,11.1082,0.04017080604582414,0.0824063173313906
2019-10-11,11.3322,11.3322,11.3322,0.03730146267239313,0.09252015210536578
2019-10-15,11.421,11.421,11.421,0.034637072408696866,0.09225442694772085
2019-10-16,11.3998,11.3998,11.3998,0.03367728149800609,0.08717911060838053
2019-10-17,11.3881,11.3881,11.3881,0.03210747563973074,0.08178774543788829
2019-10-18,11.2651,11.2651,11.2651,0.038599798950372737,0.08473147797101908
2019-10-21,11.3843,11.3843,11.3843,0.035842670397900823,0.08719351530882472
2019-10-22,11.3939,11.3939,11.3939,0.03328247960689349,0.08165112125363255
2019-10-24,11.4828,11.4828,11.4828,0.030905159593325984,0.08216889831601498
2019-10-25,11.5901,11.5901,11.5901,0.02869764815789318,0.0839639770369287
2019-10-28,11.6937,11.6937,11.6937,0.026647816115652298,0.08536655012690544
2019-10-29,11.5643,11.5643,11.5643,0.033987257924620984,0.08851179659052781
2019-10-30,11.5426,11.5426,11.5426,0.03310959663285998,0.08373952534333481
2019-10-31,11.516,11.516,11.516,0.03264462543917523,0.07965813062659362
2019-11-01,11.6376,11.6376,11.6376,0.03031286645304828,0.08265397847262348
2019-11-04,11.8134,11.8134,11.8134,0.02814766168382335,0.08930726579395895
2019-11-05,11.8876,11.8876,11.8876,0.026137114401224806,0.08822817536965591
2019-11-06,11.8495,11.8495,11.8495,0.02699160623739186,0.0846475913824859
2019-11-07,11.9712,11.9712,11.9712,0.025063634347195437,0.08729419202011951
2019-11-08,11.8903,11.8903,11.8903,0.029051946210459274,0.08683746401514146
2019-11-12,11.9058,11.9058,11.9058,0.02697680718048744,0.08174193083451975
2019-11-13,11.825,11.825,11.825,0.030821320979009685,0.08167465006017573
2019-11-14,11.7826,11.7826,11.7826,0.03164836948564269,0.07886931789560658
2019-11-15,11.9207,11.9207,11.9207,0.02938777165220964,0.08310008092744918
2019-11-18,11.9223,11.9223,11.9223,0.02728864509438819,0.07727864654433074
2019-11-19,11.8939,11.8939,11.8939,0.02736802758804067,0.07378731463095535
2019-11-20,11.8705,11.8705,11.8705,0.027084597044729784,0.07018822071213465
2019-11-21,11.7471,11.7471,11.7471,0.03396426871387348,0.07398906210612713
