date,ytm
2010-08-10,3.540575
2010-08-11,3.535526
2010-08-12,3.535987
2010-08-13,3.53646
2010-08-14,3.536922
2010-08-15,3.537394
2010-08-16,3.521724
2010-08-17,3.507282
2010-08-18,3.508121
2010-08-19,3.490796
2010-08-20,3.458483
2010-08-21,3.458914
2010-08-22,3.459362
2010-08-23,3.388313
2010-08-24,3.36798
2010-08-25,3.353126
2010-08-26,3.345652
2010-08-27,3.318309
2010-08-28,3.318675
2010-08-29,3.31906
2010-08-30,3.314711
2010-08-31,3.307744
2010-09-01,3.261678
2010-09-02,3.264698
2010-09-03,3.277042
2010-09-04,3.277406
2010-09-05,3.277792
2010-09-06,3.313327
2010-09-07,3.32765
2010-09-08,3.313417
2010-09-09,3.303151
2010-09-10,3.306501
2010-09-11,3.306891
2010-09-12,3.307298
2010-09-13,3.308007
2010-09-14,3.308992
2010-09-15,3.318131
2010-09-16,3.313088
2010-09-17,3.3424899999999997
2010-09-18,3.342893
2010-09-19,3.343309
2010-09-20,3.337683
2010-09-21,3.334084
2010-09-22,3.344575
2010-09-23,3.346215
2010-09-24,3.327396
2010-09-25,3.327808
2010-09-26,3.328222
2010-09-27,3.319543
2010-09-28,3.281348
2010-09-29,3.266604
2010-09-30,3.242651
2010-10-01,3.220619
2010-10-02,3.220981
2010-10-03,3.221357
2010-10-04,3.195947
2010-10-05,3.193813
2010-10-06,3.187508
2010-10-07,3.177885
2010-10-08,3.217951
2010-10-09,3.218314
2010-10-10,3.218694
2010-10-11,3.309752
2010-10-12,3.268497
2010-10-13,3.244604
2010-10-14,3.203947
2010-10-15,3.181267
2010-10-16,3.181628
2010-10-17,3.182005
2010-10-18,3.1651
2010-10-19,3.183638
2010-10-20,3.181928
2010-10-21,3.1772299999999998
2010-10-22,3.188272
2010-10-23,3.188634
2010-10-24,3.189011
2010-10-25,3.189383
2010-10-26,3.233953
2010-10-27,3.314356
2010-10-28,3.314894
2010-10-29,3.338195
2010-10-30,3.33859
2010-10-31,3.338985
2010-11-01,3.356553
2010-11-02,3.364131
2010-11-03,3.373123
2010-11-04,3.331483
2010-11-05,3.334354
2010-11-06,3.334753
2010-11-07,3.335169
2010-11-08,3.360213
2010-11-09,3.366665
2010-11-10,3.430251
2010-11-11,3.425564
2010-11-12,3.446196
2010-11-13,3.446649
2010-11-14,3.447113
2010-11-15,3.477511
2010-11-16,3.50459
2010-11-17,3.504752
2010-11-18,3.483924
2010-11-19,3.479899
2010-11-20,3.480343
2010-11-21,3.480809
2010-11-22,3.4720459999999997
2010-11-23,3.478143
2010-11-24,3.462261
2010-11-25,3.463578
2010-11-26,3.472772
2010-11-27,3.473191
2010-11-28,3.473635
2010-11-29,3.485102
2010-11-30,3.483018
2010-12-01,3.50589
2010-12-02,3.579694
2010-12-03,3.57282
2010-12-04,3.5732429999999997
2010-12-05,3.5736749999999997
2010-12-06,3.57411
2010-12-07,3.604222
2010-12-08,3.66689
2010-12-09,3.688005
2010-12-10,3.688415
2010-12-11,3.688838
2010-12-12,3.689265
2010-12-13,3.708044
2010-12-14,3.737955
2010-12-15,3.876035
2010-12-16,3.911098
2010-12-17,3.885849
2010-12-18,3.886284
2010-12-19,3.886751
2010-12-20,3.841278
2010-12-21,3.823261
2010-12-22,3.824297
2010-12-23,3.781898
2010-12-24,3.777263
2010-12-25,3.77767
2010-12-26,3.778095
2010-12-27,3.784741
2010-12-28,3.784822
2010-12-29,3.777199
2010-12-30,3.818104
2010-12-31,3.818645
2011-01-01,3.819057
2011-01-02,3.819501
2011-01-03,3.819942
2011-01-04,3.80655
2011-01-05,3.786957
2011-01-06,3.823531
2011-01-07,3.816954
2011-01-08,3.817363
2011-01-09,3.817795
2011-01-10,3.841123
2011-01-11,3.854261
2011-01-12,3.848761
2011-01-13,3.8462259999999997
2011-01-14,3.822688
2011-01-15,3.823091
2011-01-16,3.823514
2011-01-17,3.823714
2011-01-18,3.833699
2011-01-19,3.8244759999999998
2011-01-20,3.8299149999999997
2011-01-21,3.817908
2011-01-22,3.818314
2011-01-23,3.818749
2011-01-24,3.8440440000000002
2011-01-25,3.87705
2011-01-26,3.9270199999999997
2011-01-27,3.9046659999999997
2011-01-28,3.92317
2011-01-29,3.923599
2011-01-30,3.924069
2011-01-31,3.918549
2011-02-01,3.917248
2011-02-02,3.926148
2011-02-03,3.91592
2011-02-04,3.915086
2011-02-05,3.915509
2011-02-06,3.915961
2011-02-07,3.9304509999999997
2011-02-08,3.9402109999999997
2011-02-09,3.971857
2011-02-10,3.98526
2011-02-11,3.9824729999999997
2011-02-12,3.982933
2011-02-13,3.9834069999999997
2011-02-14,3.973551
2011-02-15,3.9794140000000002
2011-02-16,3.986036
2011-02-17,4.001338
2011-02-18,4.001772
2011-02-19,4.002233
2011-02-20,4.002704
2011-02-21,3.999132
2011-02-22,4.003913
2011-02-23,3.999078
2011-02-24,3.994576
2011-02-25,3.989229
2011-02-26,3.989651
2011-02-27,3.990114
2011-02-28,3.993366
2011-03-01,3.991878
2011-03-02,3.990838
2011-03-03,3.988425
2011-03-04,3.984142
2011-03-05,3.984565
2011-03-06,3.984976
2011-03-07,3.981481
2011-03-08,3.9763219999999997
2011-03-09,3.976834
2011-03-10,3.961247
2011-03-11,3.955583
2011-03-12,3.955996
2011-03-13,3.956417
2011-03-14,3.938581
2011-03-15,3.928179
2011-03-16,3.921667
2011-03-17,3.901463
2011-03-18,3.899401
2011-03-19,3.899799
2011-03-20,3.90021
2011-03-21,3.895747
2011-03-22,3.900793
2011-03-23,3.8965389999999998
2011-03-24,3.897828
2011-03-25,3.905044
2011-03-26,3.905439
2011-03-27,3.905842
