Date,EMA
2022-07-08,12.761248572954502
2022-07-11,12.761480600045772
2022-07-14,12.759923524558793
2022-07-15,12.758508318831057
2022-07-19,12.756033520203024
2022-07-20,12.754649856011696
2022-07-22,12.753032363864346
2022-07-25,12.752810764150004
2022-07-27,12.752675413648307
2022-08-01,12.753701694963341
2022-08-02,12.754700100536754
2022-08-03,12.755794961402076
2022-08-04,12.756859032853445
2022-08-08,12.760199186501897
2022-08-09,12.762527256173819
2022-08-10,12.764887515018295
2022-08-11,12.767542159168348
2022-08-15,12.770125225103778
2022-08-17,12.776029275676283
2022-08-18,12.779133392074101
2022-08-19,12.781915736800787
2022-08-22,12.784052371292482
2022-08-23,12.787184763614281
2022-08-25,12.794157148095788
2022-08-26,12.797990688427047
2022-08-29,12.801054793656874
2022-08-30,12.805116020584489
2022-08-31,12.80924000461149
2022-09-02,12.815521022520718
2022-09-05,12.81860702234269
2022-09-06,12.822121591336028
2022-09-07,12.825595728953926
2022-09-08,12.829032916867334
2022-09-12,12.837311956061788
2022-09-13,12.8419126520613
2022-09-14,12.846225595523267
2022-09-15,12.849892586863005
2022-09-16,12.852743238350255
2022-09-20,12.85877631519481
2022-09-21,12.86190851823675
2022-09-22,12.865430980543179
2022-09-23,12.868536664491455
2022-09-26,12.87079408216346
2022-09-28,12.87326973660548
2022-09-29,12.873405153707413
2022-09-30,12.873282583322375
2022-10-03,12.871092997683464
2022-10-04,12.869826649875689
2022-10-06,12.86823606006684
2022-10-07,12.867214431133505
2022-10-10,12.865490996895296
2022-10-11,12.863238894153042
2022-10-12,12.861077321867247
2022-10-18,12.858574499757198
2022-10-19,12.858210274462675
2022-10-20,12.858724817747555
2022-10-21,12.858984700611211
2022-10-25,12.859420394677526
2022-10-27,12.861845823010496
2022-10-28,12.863394867887884
2022-10-31,12.865270007272171
2022-11-01,12.867899493380692
2022-11-02,12.870554042840133
2022-11-04,12.875930451232973
2022-11-07,12.878314400235086
2022-11-08,12.88116646031228
2022-11-09,12.883468701732735
2022-11-10,12.885673692232873
2022-11-14,12.891278521526086
2022-11-15,12.894151418589122
2022-11-16,12.896437178125966
2022-11-17,12.898464552211928
2022-11-18,12.900547836384167
2022-11-22,12.904994010842833
2022-11-23,12.907466785460677
2022-11-24,12.910043332611187
2022-11-25,12.912288839863272
2022-11-28,12.914288928085698
2022-11-29,12.91686688122336
2022-11-30,12.920089277419223
2022-12-01,12.923704381945553
2022-12-02,12.92683162003294
2022-12-06,12.929699354261931
2022-12-07,12.93242188901085
2022-12-08,12.935206696212346
2022-12-09,12.938054074107901
2022-12-13,12.94112321186199
2022-12-14,12.944658996748457
2022-12-15,12.947456158829498
2022-12-16,12.950353738601597
2022-12-19,12.95313592248617
2022-12-20,12.955151448790629
2022-12-21,12.957068038128254
2022-12-22,12.959631927154907
2022-12-23,12.962192939588466
2022-12-26,12.965160584334802
2022-12-27,12.9693355994784
2022-12-28,12.97370369750624
2022-12-29,12.978822245352042
2022-12-30,12.98352562681171
2023-01-03,12.98822660999897
2023-01-04,12.99277975932704
2023-01-05,12.997307982573469
2023-01-06,13.002575113146012
2023-01-09,13.009519183397822
2023-01-10,13.016456581157524
2023-01-11,13.022560481701733
2023-01-12,13.02859478619421
2023-01-13,13.03457348353655
2023-01-16,13.040542863113336
2023-01-17,13.046375725855523
2023-01-18,13.05233164897129
2023-01-19,13.058366971904324
2023-01-20,13.063296877264765
2023-01-23,13.068409945428682
2023-01-24,13.073688918192092
2023-01-25,13.078732484056186
2023-01-26,13.083261081020169
2023-01-27,13.088553088284831
2023-01-30,13.093711561895228
2023-01-31,13.098224513975108
2023-02-01,13.103613252995068
2023-02-02,13.108705638346887
2023-02-03,13.113899269664303
2023-02-06,13.118688208244032
2023-02-07,13.122901740194672
2023-02-08,13.126774453710922
2023-02-09,13.130731967910837
2023-02-10,13.13451985749257
2023-02-13,13.138552902097372
2023-02-15,13.145042215704613
2023-02-16,13.14806796894015
2023-02-17,13.150782846656039
2023-02-20,13.154201954587611
2023-02-22,13.161379064521773
2023-02-24,13.166471421892801
2023-02-28,13.168987230712375
2023-03-01,13.16939918936287
2023-03-02,13.169257693794785
2023-03-07,13.169715130165528
2023-03-08,13.170023310954733
2023-03-09,13.170642099010427
2023-03-13,13.168213583710978
2023-03-14,13.163260116646068
2023-03-15,13.160865175012502
2023-03-16,13.157848059004499
2023-03-17,13.155391552609206
2023-03-20,13.15240347709451
2023-03-21,13.15078447727558
2023-03-23,13.148923039773141
2023-03-24,13.14825013036782
2023-03-27,13.147602303250288
2023-03-28,13.148264735635662
2023-03-29,13.1487756863421
2023-03-30,13.148416985264296
2023-03-31,13.14768957826616
2023-04-03,13.147563178437968
2023-04-04,13.147033034734902
2023-04-07,13.144269056247303
2023-04-10,13.144048747502266
2023-04-11,13.144378796929127
2023-04-12,13.144657225411901
2023-04-17,13.145467049716945
2023-04-18,13.145980353671753
2023-04-19,13.145726754037986
2023-04-21,13.143059176539975
2023-04-24,13.141550408345983
2023-04-25,13.138914436738505
2023-04-27,13.1344411821613
2023-04-28,13.132460619456468
2023-05-02,13.130211918907406
2023-05-08,13.128493644691927
2023-05-09,13.129045473587643
2023-05-10,13.130150252452562
2023-05-11,13.130783847294836
2023-05-12,13.131041682494086
2023-05-16,13.127887625784028
2023-05-17,13.125185747319334
2023-05-18,13.122570840225901
2023-05-19,13.118981347417792
2023-05-22,13.115964894078521
2023-05-24,13.111365496912011
2023-05-25,13.108816362549073
2023-05-26,13.105975916995327
2023-05-29,13.103822747691018
2023-05-30,13.101658931503739
