Date,CCI,tp,sma_tp,mean_deviation
2017-10-25,85.19771442722111,102.7719,100.56263181818181,1.7287382231404995
2017-10-27,103.78668184813739,103.2957,100.74419545454545,1.6389415289256206
2017-10-30,102.54006632420514,103.3088,100.92246363636364,1.551482231404963
2017-10-31,105.56405128366872,103.4261,101.10187272727272,1.4678148760330587
2017-11-01,68.17749075531249,102.6604,101.24327954545453,1.3857168388429768
2017-11-02,23.71976312480259,101.79879999999999,101.32549545454548,1.3302677685950395
2017-11-03,-1.9309295137857723,101.36129999999999,101.39792272727273,1.2644247933884267
2017-11-06,47.71371272126944,102.3608,101.48187045454546,1.2280600206611567
2017-11-07,39.60917267761171,102.2679,101.56851363636365,1.1771454545454554
2017-11-08,50.906047542053265,102.5185,101.65852954545454,1.1262191115702491
2017-11-09,15.723296655522672,101.98219999999999,101.73202045454545,1.0607595041322313
2017-11-10,-43.5566575610659,101.135,101.78808636363637,0.9995966942148748
2017-11-13,-58.23903369516819,100.9791,101.82144318181818,0.9642366735537199
2017-11-14,-25.537940544245124,101.5095,101.86244772727274,0.9213682851239682
2017-11-15,-58.571693012694496,101.1142,101.89445681818182,0.8880931818181836
2017-11-16,-24.391588592242766,101.6189,101.93060454545456,0.8519454545454562
2017-11-17,55.137075613768424,102.67289999999998,101.99167727272729,0.8236716942148781
2017-11-20,100.23602359682927,103.2882,102.05226590909092,0.8220159090909104
2017-11-21,76.92789610131878,103.04609999999998,102.10385454545454,0.816561570247935
2017-11-22,99.51524295670737,103.3854,102.15319999999998,0.8254681818181834
2017-11-23,98.74863992545151,103.4329,102.20637272727272,0.828046694214878
2017-11-24,61.48745216393066,103.00349999999999,102.24521136363636,0.8221608471074391
2017-11-27,59.98424231518271,103.02119999999998,102.28460227272727,0.8186569214876042
2017-11-28,93.2605715461027,103.4778,102.35454318181819,0.8029522727272739
2017-11-29,52.57505349511105,103.0228,102.40799090909091,0.7795954545454555
2017-11-30,2.2881910082024257,102.4683,102.44269318181817,0.746057128099175
2017-12-01,44.404954384679975,102.9687,102.4885590909091,0.7208518595041337
2017-12-04,50.272388985364294,103.06350000000002,102.54536590909092,0.6871022727272738
2017-12-06,-17.18778482079239,102.4013,102.57166590909091,0.6608022727272737
2017-12-07,36.925512798971575,102.9576,102.59592272727274,0.6529853305785125
2017-12-08,98.97179663560908,103.6121,102.63111363636362,0.66078512396694
2017-12-12,68.55108359423866,103.3388,102.65992045454546,0.6602176652892524
2017-12-13,84.60616461678805,103.5363,102.68925,0.6674454545454555
2017-12-14,101.12028373112312,103.7549,102.71717272727273,0.684153719008264
2017-12-15,83.66202766582373,103.6117,102.74835454545455,0.6879628099173541
2017-12-18,102.95182975604072,103.8309,102.75725227272727,0.6952427685950426
2017-12-19,160.02166085922602,104.47089999999999,102.77236363636365,0.707627685950412
2017-12-20,146.79454085958966,104.4009,102.79662499999999,0.7285806818181816
2017-12-21,152.35705659677066,104.4972,102.80856590909092,0.738893285123967
2017-12-22,182.59979660204402,104.92990000000002,102.83753863636365,0.7639151859504132
2017-12-25,208.9730249221714,105.43170000000002,102.89137954545454,0.8104141528925662
2017-12-26,215.4218658191944,105.6426,102.99058636363635,0.8207194214876058
2017-12-27,219.39164948874839,105.9199,103.08056590909091,0.8627900826446322
2017-12-28,164.58738399775913,105.3714,103.15155681818182,0.8991548553719042
2017-12-29,187.63316633640684,105.9053,103.22277045454547,0.9531113636363664
2018-01-03,239.17101022853925,107.03519999999999,103.30775909090909,1.0389890495867804
2018-01-04,231.90460754683852,107.3609,103.39985227272727,1.1387003099173592
2018-01-05,203.75039708797456,107.2808,103.48745909090908,1.2411725206611635
2018-01-08,138.00208169886474,106.2643,103.5693659090909,1.3018808884297528
2018-01-09,121.71724198359738,106.1186,103.66754318181819,1.3424867768595
2018-01-10,124.59941101230658,106.3569,103.78107954545455,1.378187603305786
2018-01-11,157.37655258850816,107.32890000000002,103.8939909090909,1.4550702479338875
2018-01-12,160.28297064357758,107.7026,104.01750681818181,1.5327447314049591
2018-01-15,146.77205111972737,107.6631,104.13442954545454,1.602789462809917
2018-01-16,138.34600924828985,107.6934,104.26422954545455,1.6524608471074402
2018-01-17,147.14270591288727,108.1425,104.42349090909092,1.684989669421486
2018-01-18,126.9973922954095,107.8309,104.57921363636363,1.7069570247933896
2018-01-19,134.50825371881328,108.24579999999999,104.73231136363634,1.7413992768595066
2018-01-22,147.3103066008002,108.8136,104.90729772727272,1.7678338842975228
2018-01-23,141.97622600237096,108.9017,105.07281590909092,1.7978991735537206
2018-01-24,138.3773459376385,109.0367,105.21744772727271,1.8400180785123974
2018-01-25,88.68943599547401,107.7869,105.31969090909091,1.854568181818182
2018-01-26,91.20490543911068,107.97769999999998,105.43177272727272,1.860957851239669
2018-01-29,96.64959489830692,108.2666,105.5427090909091,1.8788772727272716
2018-01-30,73.78979607866872,107.71639999999998,105.64006136363636,1.8759040289256177
2018-01-31,67.50756534807601,107.6247,105.74508863636365,1.85619824380165
2018-02-01,90.87083800140171,108.3791,105.8668590909091,1.8430855371900792
2018-02-02,66.39807857665075,107.781,105.96465909090908,1.8236882231404932
2018-02-05,37.938325732530494,107.06580000000001,106.05654545454546,1.7735004132231387
2018-02-06,-1.0829423976865473,106.11200000000001,106.13935681818181,1.6841042355371885
2018-02-07,-0.5915014249266102,106.19850000000001,106.21276136363636,1.6073631198347074
2018-02-08,9.214097862245374,106.50330000000001,106.29093863636363,1.536495971074377
2018-02-09,6.667391443170552,106.5294,106.38475909090909,1.4462518595041296
