Date,ema_fast,ema_slow,MACD_signal
2017-10-25,0.04429800266972956,0.039282738901593124,0.003321203603471838
2017-10-27,0.04512555301575316,0.04008838534186944,0.003384757828301908
2017-10-30,0.04599553346633693,0.040928712398644686,0.0034470564667978465
2017-10-31,0.046662706600501744,0.041607057620937346,0.003506633967270682
2017-11-01,0.04722795428988533,0.04220326066676823,0.003562858398968697
2017-11-02,0.04757009254065714,0.04261947570254609,0.0036142568596776734
2017-11-03,0.04794199582839212,0.04305749994306886,0.003661302749516399
2017-11-06,0.04866125374156623,0.0437725237856262,0.0037067630164209784
2017-11-07,0.04942738207937204,0.0445252952668489,0.003751034268128466
2017-11-08,0.05018903635820686,0.045274851147393,0.00379411393267237
2017-11-09,0.05062785552150019,0.045765570340764096,0.0038336758307488043
2017-11-10,0.05078148005340148,0.04602586849118446,0.003867821598580961
2017-11-13,0.050778928152781906,0.04615778067131288,0.003895722557206445
2017-11-14,0.05105998712805514,0.04651359273544686,0.003919821514073179
2017-11-15,0.05108723327945734,0.04666353385396999,0.003938483658940371
2017-11-16,0.051419054478810865,0.047054536772478804,0.0039542626977326556
2017-11-17,0.052174863470723205,0.04778425716616426,0.003970423572059555
2017-11-20,0.05309781612940617,0.04864889821058746,0.003988145584902487
2017-11-21,0.053878767039889454,0.04940118043220978,0.004006273030190531
2017-11-22,0.05472900094327604,0.05020989178021534,0.004025266961037575
2017-11-23,0.05558968626867018,0.05102816335589967,0.004045128292583239
2017-11-24,0.056276738136279016,0.05170823381053692,0.004064512590107641
2017-11-27,0.056913032407085166,0.05234775186810643,0.004083059551176941
2017-11-28,0.05756790068601633,0.05300209064243086,0.004100939199043924
2017-11-29,0.058209632522558244,0.05364589817440354,0.004118079760122102
2017-11-30,0.058688508452955104,0.054158903762134954,0.00413332142422203
2017-12-01,0.05935247733704874,0.05481954370262759,0.004148121876451626
2017-12-04,0.06004872594755412,0.055506192126115614,0.004162729726265955
2017-12-06,0.06057860845466766,0.0560595494577825,0.004175927106659259
2017-12-07,0.06130268604549789,0.0567681486221641,0.004189208970239797
2017-12-08,0.062406930925335176,0.05778238852353584,0.004205332430667928
2017-12-12,0.06318438066957412,0.05853680711825723,0.004221711731432705
2017-12-13,0.06406463030524996,0.059374403968062255,0.004239064124238446
2017-12-14,0.06505137076933434,0.06029869494168458,0.0042580867799203465
2017-12-15,0.0659880583454126,0.06118456175142768,0.00427828714340422
2017-12-18,0.06684030387251902,0.06200406862794932,0.004298951887891831
2017-12-19,0.06780840542774508,0.06291750889748488,0.004320875763535104
2017-12-20,0.06877716542041307,0.06383301752625382,0.004343959916521183
2017-12-21,0.0696836748890767,0.06470005042065025,0.004367651196221379
2017-12-22,0.07069032548807688,0.06564859032318354,0.004392617269135155
2017-12-25,0.07148200575823836,0.06642618533345103,0.0044171803489741245
2017-12-26,0.07164036075997018,0.06669573288201848,0.004436715442639961
2017-12-27,0.07189488192187561,0.06703935206489894,0.0044522270876153945
2017-12-28,0.07175641897946573,0.06706496716344247,0.004461087262741612
2017-12-29,0.07189358249615976,0.06730723792518341,0.004465726422305862
2018-01-03,0.07238905332560588,0.06783420308603386,0.004469027304426831
2018-01-04,0.07290924096380542,0.06838012415443552,0.004471252841646946
2018-01-05,0.0734138153271754,0.06891278573655987,0.004472355684201338
2018-01-08,0.07321896449917059,0.06888314576451701,0.0044672987601440135
2018-01-09,0.07290680990552025,0.06875467851988655,0.00445562589442141
2018-01-10,0.07268928158383722,0.06869700455418705,0.0044384648253558085
2018-01-11,0.07269963214112782,0.06881777266439641,0.004417849812443793
2018-01-12,0.07285683932021998,0.06905332939906848,0.0043950964831366715
2018-01-15,0.07275563656352543,0.06907922324006445,0.004368478588333868
2018-01-16,0.07261120097729899,0.06906682884896607,0.004337956126852352
2018-01-17,0.07246525910250536,0.06904950571366225,0.004303800469889046
2018-01-18,0.07226112175089774,0.06898183920290242,0.00426585536167076
2018-01-19,0.07213348936977101,0.06897174792644843,0.004224962253583791
2018-01-22,0.07220947319934942,0.06912181216831624,0.0041828399860819165
2018-01-23,0.07264682380436764,0.06955990099293745,0.004142250461094816
2018-01-24,0.07301354321918467,0.06994126510938015,0.004102621855491472
2018-01-25,0.07283119344886804,0.06988141467714862,0.004059923963499914
2018-01-26,0.07271814434717981,0.06987374930739101,0.004014904373732836
2018-01-29,0.07285413962569327,0.0700630524194311,0.003969577811974664
2018-01-30,0.07254093036814445,0.0698902249086176,0.00392073068780993
2018-01-31,0.07197037620007837,0.0695068421387484,0.003866760442384747
2018-02-01,0.07161622417390844,0.06929191823214238,0.0038096324979173877
2018-02-02,0.07106612328982836,0.0689157613517335,0.003748178032738776
2018-02-05,0.07022665582946817,0.06830239626209489,0.0036806254969844986
2018-02-06,0.06898970177738119,0.06736355313766938,0.0036045337615299546
2018-02-07,0.06792763402709696,0.0665567142012359,0.003521807319468144
2018-02-08,0.06658351498813614,0.06551625017913669,0.003430898337598933
2018-02-09,0.06516779438216824,0.06440974954643006,0.0033319037634559428
2018-02-12,0.06415532992025726,0.0636182793399871,0.0032283906825972103
2018-02-13,0.0629244141245663,0.06264520752035549,0.0031191616426569737
2018-02-14,0.06164895062987536,0.06162910884445462,0.003004372018314891
2018-02-15,0.060679175680212485,0.06085111604783571,0.0028867308188357016
2018-02-16,0.06059248137021474,0.060776672999876304,0.00277299295037284
2018-02-19,0.06025590280121939,0.060501273539424784,0.0026612017026477206
2018-02-20,0.05964955560732497,0.06000757591226433,0.0025493786653296804
2018-02-21,0.05883282673803853,0.059341807093120584,0.0024361061090181347
